                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.617,                 1.3182,                 1.7573,                0.80393,                0.66595,                0.75997,                 0.4809,                 1.5063,                  1.236,                 1.6655,             0.00065247,             0.00065247,             0.00065247
                     35,                 1.7078,                 1.3492,                 1.7471,                0.68556,                0.63702,                0.71293,                0.48151,                 1.4183,                 1.3589,                 1.6594,             0.00065203,             0.00065203,             0.00065203
                     36,                 1.6668,                  1.316,                 1.7242,                0.66756,                0.64126,                0.69403,                0.48064,                 1.3848,                 1.3364,                 1.6193,             0.00065159,             0.00065159,             0.00065159
                     37,                 1.6856,                 1.5108,                 1.7652,                0.72712,                0.69619,                 0.7498,                0.49423,                 1.4094,                 1.2037,                 1.5651,             0.00065115,             0.00065115,             0.00065115
                     38,                 1.5942,                 1.2227,                 1.6434,                0.77022,                0.70129,                0.76567,                0.53072,                 1.3402,                 1.1037,                 1.5257,             0.00065071,             0.00065071,             0.00065071
                     39,                 1.5791,                 1.2024,                 1.6451,                0.76674,                0.71197,                 0.7667,                0.49741,                 1.3959,                 1.2823,                 1.5503,             0.00065027,             0.00065027,             0.00065027
                     40,                  1.502,                 1.1612,                 1.5686,                0.76484,                0.75612,                0.78975,                0.52533,                 1.3935,                 1.1148,                 1.5442,             0.00064983,             0.00064983,             0.00064983
                     41,                 1.5434,                 1.1582,                 1.5821,                0.82786,                0.73183,                0.81054,                0.56942,                  1.226,                 1.0432,                 1.4521,             0.00064939,             0.00064939,             0.00064939
                     42,                 1.3811,                 1.0628,                 1.5084,                0.79608,                0.71531,                0.79203,                0.55444,                 1.2696,                 1.0739,                 1.4755,             0.00064895,             0.00064895,             0.00064895
                     43,                 1.4498,                 1.1101,                 1.5916,                0.71913,                 0.7065,                0.74054,                0.49223,                  1.402,                 1.0987,                   1.51,             0.00064851,             0.00064851,             0.00064851
                     44,                 1.4969,                 1.1349,                  1.571,                0.76823,                0.75476,                0.77151,                0.50921,                 1.3552,                 1.0683,                 1.5234,             0.00064807,             0.00064807,             0.00064807
                     45,                 1.4247,                 1.0817,                 1.5407,                0.74243,                 0.7425,                0.79275,                0.55459,                 1.1923,                0.99996,                   1.43,             0.00064763,             0.00064763,             0.00064763
                     46,                 1.4327,                  1.072,                 1.5083,                 0.7724,                0.77918,                0.83489,                0.59339,                 1.1859,                0.98409,                 1.4034,             0.00064719,             0.00064719,             0.00064719
                     47,                 1.3628,                 1.0279,                 1.4602,                0.82586,                0.73073,                0.80828,                0.57186,                  1.177,                0.97763,                 1.4129,             0.00064675,             0.00064675,             0.00064675
                     48,                 1.3051,                0.95194,                 1.4276,                0.79001,                0.75774,                0.82785,                0.59046,                  1.144,                0.93678,                 1.3681,             0.00064631,             0.00064631,             0.00064631
                     49,                 1.4455,                 1.0854,                 1.5527,                0.89189,                0.72103,                 0.8465,                0.61579,                 1.0919,                0.96008,                 1.3698,             0.00064587,             0.00064587,             0.00064587
                     50,                 1.3905,                 1.0109,                 1.4846,                0.91915,                0.71223,                0.83517,                0.58852,                 1.1749,                0.92041,                 1.3765,             0.00064543,             0.00064543,             0.00064543
                     51,                 1.3485,                0.99315,                 1.4387,                 0.8097,                0.76672,                0.84095,                0.61105,                 1.0674,                0.95987,                 1.3412,             0.00064499,             0.00064499,             0.00064499
                     52,                 1.3472,                0.99006,                 1.4679,                 0.8237,                 0.8156,                0.84316,                 0.6051,                 1.0828,                0.87965,                 1.3469,             0.00064455,             0.00064455,             0.00064455
                     53,                 1.3789,                 1.0612,                 1.5177,                0.82834,                0.76971,                0.83282,                0.62009,                 1.0765,                0.93577,                 1.3555,             0.00064411,             0.00064411,             0.00064411
                     54,                 1.2523,                0.94195,                 1.4086,                0.85688,                0.80494,                0.88599,                0.64806,                 1.0508,                0.84925,                  1.327,             0.00064367,             0.00064367,             0.00064367
                     55,                 1.2778,                0.94319,                 1.4106,                0.84688,                0.83276,                0.87806,                0.62275,                  1.104,                0.82782,                  1.322,             0.00064323,             0.00064323,             0.00064323
                     56,                 1.2516,                0.90769,                 1.3852,                0.82626,                0.82985,                0.88794,                0.62242,                 1.1609,                0.85158,                 1.3538,             0.00064279,             0.00064279,             0.00064279
                     57,                 1.2572,                0.94337,                 1.3927,                0.87422,                  0.832,                0.89075,                0.64555,                 1.0858,                0.82737,                 1.3433,             0.00064235,             0.00064235,             0.00064235
                     58,                 1.2451,                0.90769,                 1.3566,                0.91752,                0.81739,                0.88517,                0.64915,                 1.0388,                0.84477,                 1.3091,             0.00064191,             0.00064191,             0.00064191
                     59,                 1.1903,                0.91346,                 1.3795,                0.93391,                0.83489,                0.90431,                0.66553,                 1.0065,                0.78687,                 1.2848,             0.00064147,             0.00064147,             0.00064147
                     60,                 1.1697,                0.86095,                 1.3485,                0.88204,                0.86579,                0.90624,                0.69281,                0.97945,                 0.7508,                 1.2707,             0.00064103,             0.00064103,             0.00064103
                     61,                 1.1422,                0.86622,                 1.3194,                0.89123,                0.82285,                0.90122,                0.68867,                 0.9601,                0.76347,                 1.2653,             0.00064059,             0.00064059,             0.00064059
                     62,                 1.1866,                0.88831,                 1.3599,                 0.8453,                0.85167,                0.89076,                0.66296,                   1.01,                0.80068,                 1.2724,             0.00064015,             0.00064015,             0.00064015
                     63,                 1.1885,                0.89194,                 1.3538,                0.90899,                0.85186,                0.91642,                 0.6873,                0.95694,                0.79361,                 1.2775,             0.00063971,             0.00063971,             0.00063971
                     64,                 1.1689,                 0.8297,                 1.2789,                0.95697,                 0.8193,                0.91097,                 0.6817,                0.96762,                0.74674,                 1.2522,             0.00063927,             0.00063927,             0.00063927
                     65,                 1.1722,                 0.8351,                  1.279,                0.90938,                0.83127,                0.90702,                 0.6723,                 0.9874,                0.78563,                 1.2671,             0.00063883,             0.00063883,             0.00063883
                     66,                 1.1699,                0.86692,                  1.286,                0.93235,                0.81092,                0.91327,                0.66478,                0.99524,                0.83757,                 1.2756,             0.00063839,             0.00063839,             0.00063839
                     67,                 1.1121,                0.82382,                 1.2634,                0.92363,                0.82392,                0.90104,                0.67598,                0.93961,                0.74936,                 1.2183,             0.00063795,             0.00063795,             0.00063795
                     68,                 1.1504,                0.84163,                  1.316,                0.89974,                0.82432,                0.89738,                0.68188,                0.96102,                0.77186,                 1.2143,             0.00063751,             0.00063751,             0.00063751
                     69,                 1.1075,                 0.8104,                 1.2567,                0.88861,                0.86602,                0.91727,                0.69482,                0.94096,                0.77805,                 1.2175,             0.00063707,             0.00063707,             0.00063707
                     70,                 1.1016,                0.82197,                  1.256,                0.95778,                0.84086,                0.92346,                0.69792,                0.96605,                0.72835,                 1.2252,             0.00063662,             0.00063662,             0.00063662
                     71,                 1.1033,                0.84834,                 1.2628,                0.96213,                0.85372,                0.92634,                0.69384,                0.96381,                0.71984,                 1.2199,             0.00063618,             0.00063618,             0.00063618
                     72,                 1.1487,                0.82495,                 1.2742,                0.93511,                0.87546,                0.93269,                0.68384,                0.98124,                0.77575,                 1.2297,             0.00063574,             0.00063574,             0.00063574
                     73,                  1.063,                0.81149,                 1.2511,                0.95219,                0.86493,                0.92746,                0.70258,                0.91745,                0.70666,                 1.1984,              0.0006353,              0.0006353,              0.0006353
                     74,                 1.0833,                0.81842,                 1.2792,                0.91307,                0.85667,                0.92005,                0.69098,                 0.9354,                0.71308,                 1.2072,             0.00063486,             0.00063486,             0.00063486
                     75,                 1.0435,                 0.8012,                 1.2814,                0.95574,                0.88827,                0.93036,                0.70611,                0.95276,                0.68014,                 1.2118,             0.00063442,             0.00063442,             0.00063442
                     76,                 1.0409,                 0.7662,                 1.2303,                0.96652,                0.84645,                0.93125,                0.71789,                0.88866,                0.66993,                 1.1884,             0.00063398,             0.00063398,             0.00063398
                     77,                 1.0658,                0.77376,                 1.2311,                0.87927,                0.84805,                0.90652,                0.70208,                0.91011,                0.70397,                  1.187,             0.00063354,             0.00063354,             0.00063354
                     78,                 1.0706,                0.83784,                 1.2551,                0.94543,                0.83543,                0.93067,                0.72022,                0.86491,                0.67908,                 1.1712,              0.0006331,              0.0006331,              0.0006331
